Name,OVR,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Preferred foot,Height,Weight,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Lee Grace,63,38,48,20,27,35,22,20,31,32,24,25,61,50,29,52,39,33,60,55,64,62,65,63,63,63,64,69,72,62,Defensor,3,Right,186,83,0,0,0,0.0,0.0
Pier Grazziani,63,45,40,16,13,44,13,18,23,28,18,14,24,25,18,16,34,52,55,23,38,21,14,20,15,11,47,42,43,20,Arquero,3,Right,183,75,66,63,58,61.0,62.0
Viktor Gustafson,63,53,61,54,46,47,45,31,37,58,43,39,62,60,38,57,62,69,62,61,55,61,46,61,61,58,62,75,77,62,Mediocampista,3,Right,181,71,0,0,0,0.0,0.0
Jesper Gustavsson,63,50,63,52,44,51,48,49,45,58,58,47,62,58,57,56,61,79,59,60,59,60,50,61,57,55,62,80,75,66,Mediocampista,3,Right,174,74,0,0,0,0.0,0.0
Antoine Hainaut,63,68,63,46,48,55,51,51,46,55,52,34,65,59,60,63,57,70,56,64,50,61,50,65,67,65,56,46,54,62,Defensor,2,Right,176,70,0,0,0,0.0,0.0
Wojciech Hajda,63,62,64,62,55,40,52,31,37,61,35,31,65,61,31,62,76,71,63,67,52,62,48,58,64,55,64,71,75,74,Mediocampista,3,Right,181,79,0,0,0,0.0,0.0
Belal Halbouni,63,58,63,32,48,51,45,25,35,40,37,24,57,54,31,42,57,62,57,46,50,61,60,60,63,60,75,62,81,68,Defensor,2,Right,189,85,0,0,0,0.0,0.0
Ben Halloran,63,75,80,61,58,61,57,55,59,63,57,50,59,52,60,61,75,74,62,59,60,40,49,42,40,34,69,70,73,66,Mediocampista,2,Right,180,69,0,0,0,0.0,0.0
Han Jiaqi,63,35,33,8,7,44,5,15,11,57,10,10,33,27,30,22,33,55,51,25,37,22,17,20,20,21,60,31,67,34,Arquero,3,Right,185,75,66,62,58,59.0,69.0
Han Rongze,63,39,43,18,12,48,16,14,19,58,18,17,27,38,14,19,42,56,57,18,26,19,14,24,17,11,45,33,43,29,Arquero,3,Left,190,80,62,61,64,63.0,63.0
Mika Hanraths,63,57,63,33,22,38,21,24,40,44,26,28,54,47,24,43,48,50,56,50,50,62,54,60,69,66,68,60,78,61,Defensor,3,Right,188,83,0,0,0,0.0,0.0
Tomer Haran,63,34,29,8,7,39,9,9,13,64,12,12,26,27,13,9,29,27,45,20,30,14,14,10,13,16,59,30,69,24,Arquero,2,Right,197,95,64,66,52,76.0,55.0
Phil Harres,63,72,73,64,66,65,52,54,56,51,34,29,56,33,30,57,59,42,50,63,60,29,63,24,25,26,83,57,84,59,Delantero,3,Right,193,87,0,0,0,0.0,0.0
Ellis Harrison,63,78,79,61,62,64,57,58,66,54,55,49,58,45,59,61,74,72,60,60,63,41,60,35,42,39,83,70,80,79,Delantero,4,Right,180,79,0,0,0,0.0,0.0
Mike Hauptmeijer,63,33,35,12,14,46,13,15,26,36,10,11,21,25,17,19,38,48,57,16,42,18,18,10,18,13,54,30,55,19,Arquero,2,Right,190,70,60,62,61,63.0,64.0
Maxime Hautbois,63,39,49,11,9,47,11,15,14,15,11,12,33,35,12,15,35,42,56,24,16,13,13,12,13,12,55,29,55,24,Arquero,2,Right,181,75,61,65,62,62.0,64.0
Ibe Hautekiet,63,62,68,28,24,62,26,31,36,36,36,24,58,59,39,31,42,58,49,36,58,61,65,63,66,63,74,53,75,60,Defensor,3,Right,188,83,0,0,0,0.0,0.0
Elias Havel,63,69,73,60,68,62,60,58,63,61,59,52,61,54,55,60,72,64,58,65,62,25,59,24,26,20,68,60,66,60,Delantero,3,Right,184,70,0,0,0,0.0,0.0
He Guan,63,69,72,44,24,42,32,23,41,45,47,30,63,55,39,42,71,66,62,58,55,61,62,64,60,57,75,66,74,64,Defensor,2,Right,183,80,0,0,0,0.0,0.0
Oscar Hedvall,63,32,29,13,12,48,12,16,14,55,18,15,45,43,15,14,35,45,46,40,42,18,20,20,13,12,55,30,55,22,Arquero,3,Left,195,89,66,62,64,63.0,64.0
Aune Selland Heggebø,63,67,67,63,63,62,56,56,60,49,34,36,58,42,54,63,75,72,56,63,49,18,64,19,18,18,74,70,72,45,Delantero,3,Right,182,84,0,0,0,0.0,0.0
Nahuel Herrera,63,57,53,31,31,39,32,42,51,33,33,45,40,32,38,31,45,56,47,44,47,67,62,65,68,64,73,56,76,53,Defensor,2,Right,181,84,0,0,0,0.0,0.0
Thomas Heward-Belle,63,34,33,7,9,44,8,8,11,36,10,14,33,31,11,7,27,22,54,11,41,6,11,7,12,14,56,25,61,19,Arquero,2,Right,192,80,64,65,58,60.0,63.0
Felix Higl,63,54,73,63,59,67,58,46,56,60,58,39,64,40,33,59,52,41,55,61,46,24,68,24,20,19,74,69,80,49,Delantero,3,Left,194,83,0,0,0,0.0,0.0
Brad Hills,63,66,65,35,39,51,29,45,33,29,32,16,54,52,30,46,59,55,57,50,59,65,62,61,62,61,77,71,79,64,Defensor,3,Right,188,79,0,0,0,0.0,0.0
Lukas Hinterseer,63,30,30,67,62,67,63,60,66,64,60,44,61,56,61,65,58,53,67,66,64,33,67,44,33,33,68,35,83,56,Delantero,3,Right,192,86,0,0,0,0.0,0.0
Cameron Humphreys,63,65,64,63,55,58,58,44,44,64,64,62,65,62,60,63,69,72,62,65,62,58,46,59,59,55,58,69,61,60,Mediocampista,2,Left,178,70,0,0,0,0.0,0.0
Rob Hunt,63,72,73,53,29,45,39,23,36,50,62,55,56,51,62,60,79,85,55,60,57,58,50,58,58,55,68,80,54,51,Defensor,5,Right,171,67,0,0,0,0.0,0.0
Elias Huth,63,77,78,61,61,65,60,57,61,55,47,44,60,55,49,60,68,68,60,61,60,39,63,40,36,33,80,81,74,61,Delantero,4,Right,181,78,0,0,0,0.0,0.0
Alex Iacovitti,63,67,68,46,34,38,31,24,39,40,55,30,57,53,40,50,49,33,53,53,60,61,63,60,62,60,79,74,82,66,Defensor,3,Left,193,78,0,0,0,0.0,0.0
Lukas Ibertsberger,63,67,72,47,38,61,51,35,62,56,60,64,64,62,63,59,70,67,58,60,48,56,51,58,62,62,55,62,51,61,Defensor,2,Left,181,61,0,0,0,0.0,0.0
Uche Ikpeazu,63,49,59,63,62,72,52,59,57,60,39,31,54,50,44,60,51,45,60,63,62,22,66,23,24,19,69,64,93,72,Delantero,4,Right,191,93,0,0,0,0.0,0.0
Mitja Ilenič,63,78,81,51,41,39,35,31,45,50,61,30,57,47,44,68,71,72,65,64,48,55,43,49,62,60,58,64,55,51,Defensor,3,Right,180,71,0,0,0,0.0,0.0
Florin Ilie,63,54,67,41,41,28,27,22,38,37,37,21,56,44,26,36,62,47,61,33,58,58,67,63,63,60,74,73,79,65,Defensor,2,Left,188,83,0,0,0,0.0,0.0
Kristall Máni Ingason,63,73,74,61,59,58,54,54,55,65,59,57,64,60,60,63,81,79,58,64,62,48,53,42,44,43,52,61,42,34,Mediocampista,4,Right,180,70,0,0,0,0.0,0.0
Dany Jean,63,82,78,59,62,68,60,57,63,53,49,46,58,46,49,68,78,78,60,66,58,21,54,23,19,12,64,61,50,45,Mediocampista,3,Right,173,70,0,0,0,0.0,0.0
Jekob Abiezer Jeno,63,50,60,35,33,52,39,34,48,52,47,40,67,60,38,53,58,64,51,63,50,62,61,61,67,65,64,57,68,69,Mediocampista,3,Left,183,75,0,0,0,0.0,0.0
Herman Johansson,63,70,71,60,56,52,52,51,52,58,61,35,61,56,47,65,64,50,60,64,49,56,64,57,59,56,78,72,78,57,Defensor,3,Right,190,82,0,0,0,0.0,0.0
Ryan Johansson,63,58,65,63,43,51,45,36,43,61,60,34,66,64,40,62,54,68,63,64,58,54,45,49,57,56,52,64,57,52,Mediocampista,3,Right,184,75,0,0,0,0.0,0.0
Miloš Jovičić,63,59,58,32,30,50,42,26,48,28,32,35,52,48,33,32,48,50,57,44,50,62,55,61,66,64,73,64,82,59,Defensor,2,Right,187,83,0,0,0,0.0,0.0
Elias Kachunga,63,72,72,64,63,66,56,61,60,64,58,55,64,49,61,63,70,73,63,64,64,30,63,46,53,38,74,53,67,68,Mediocampista,2,Right,178,74,0,0,0,0.0,0.0
Bryang Kayo,63,65,68,59,46,58,49,50,43,59,50,43,67,64,45,68,62,63,60,67,56,57,58,58,61,57,71,70,74,64,Mediocampista,3,Right,185,85,0,0,0,0.0,0.0
Johnny Kenny,63,79,84,63,56,67,55,58,63,57,49,32,58,56,50,64,74,74,59,62,52,24,61,21,39,31,77,60,70,70,Delantero,3,Right,185,79,0,0,0,0.0,0.0
Alan Kerouedan,63,72,69,58,60,57,57,43,68,57,65,68,66,58,66,66,78,80,55,63,65,36,58,33,43,37,63,75,53,48,Delantero,3,Right,173,66,0,0,0,0.0,0.0
Kim Jong Woo,63,72,72,60,56,65,61,59,64,67,58,65,64,60,61,60,75,71,59,65,61,57,54,53,55,52,64,83,58,57,Mediocampista,4,Right,181,70,0,0,0,0.0,0.0
Kim Seung Dae,63,78,78,75,58,57,57,63,64,70,51,58,62,56,62,61,77,77,62,69,68,48,53,42,45,32,67,65,59,58,Delantero,4,Right,175,64,0,0,0,0.0,0.0
Kim Tae Hwan,63,68,67,58,34,55,42,43,35,49,58,41,57,54,55,54,72,65,63,57,57,57,63,54,62,58,82,81,71,67,Defensor,3,Right,179,73,0,0,0,0.0,0.0
Jeppe Kjær,63,77,77,59,53,53,50,49,58,63,57,53,61,56,65,65,85,83,56,66,63,42,38,35,38,36,50,64,46,50,Mediocampista,2,Left,174,65,0,0,0,0.0,0.0
Kristoffer Klaesson,63,35,33,5,10,47,12,10,17,42,11,13,33,29,12,19,52,42,60,25,43,11,13,10,14,13,54,24,57,30,Arquero,2,Left,189,76,63,61,63,62.0,65.0
Tobias Knost,63,76,71,40,28,30,35,40,33,35,59,28,58,38,49,54,70,72,53,58,47,55,61,56,62,58,73,76,61,62,Defensor,2,Right,178,76,0,0,0,0.0,0.0
Kyle Knoyle,63,82,82,58,47,45,49,25,40,55,58,30,56,53,50,60,82,82,57,57,55,55,51,56,57,55,80,85,65,56,Defensor,3,Right,177,63,0,0,0,0.0,0.0
Olaf Kobacki,63,77,75,58,57,60,59,45,55,59,58,40,62,55,45,63,74,69,47,69,60,43,42,49,40,40,62,66,65,59,Mediocampista,3,Right,178,73,0,0,0,0.0,0.0
Rachid Kouda,63,81,85,63,32,56,33,36,39,62,47,34,66,63,38,67,66,60,68,67,61,56,51,45,58,56,73,76,70,64,Mediocampista,3,Right,188,78,0,0,0,0.0,0.0
William Kurtović,63,42,53,62,56,65,56,49,48,64,64,55,63,62,60,64,53,45,62,65,59,61,54,58,61,58,66,75,87,70,Mediocampista,3,Left,190,85,0,0,0,0.0,0.0
Giorgi Kvernadze,63,72,75,55,57,65,55,53,55,59,60,52,61,54,60,71,66,59,55,66,58,25,53,26,30,21,66,36,61,37,Delantero,3,Right,188,80,0,0,0,0.0,0.0
Gaëtan Laura,63,80,87,61,60,65,56,57,61,53,49,50,56,42,53,63,76,71,61,62,59,18,58,31,12,14,80,71,76,70,Delantero,3,Right,178,82,0,0,0,0.0,0.0
Sam Lavelle,63,55,54,31,25,40,24,23,35,38,28,29,52,42,33,41,43,60,59,48,54,60,60,62,63,61,81,71,79,67,Defensor,3,Right,188,76,0,0,0,0.0,0.0
Ryan Leak,63,44,39,29,23,53,26,30,33,38,30,24,55,57,27,47,35,38,59,44,56,63,62,62,63,61,79,69,81,65,Defensor,2,Left,191,83,0,0,0,0.0,0.0
Lee Chan Dong,63,60,53,57,53,70,60,53,53,65,46,60,64,62,58,56,69,64,63,62,55,66,65,66,63,65,76,78,79,83,Mediocampista,3,Right,183,80,0,0,0,0.0,0.0
Lee Eu Ddeum,63,65,71,59,45,70,68,57,64,58,71,73,56,58,64,58,67,75,58,62,61,62,48,56,58,54,61,75,68,62,Defensor,3,Left,177,73,0,0,0,0.0,0.0
Lee You Hyeon,63,70,72,57,38,38,38,31,35,58,62,52,58,57,53,63,73,69,59,58,60,60,38,58,62,58,57,76,69,65,Defensor,4,Right,179,74,0,0,0,0.0,0.0
Lee Sang Ki,63,82,74,63,52,67,59,53,55,63,61,49,58,53,41,60,73,73,58,57,60,57,45,55,56,57,72,83,73,67,Defensor,3,Right,179,79,0,0,0,0.0,0.0
Lee Bum Soo,63,63,57,14,9,44,13,13,26,67,12,9,35,34,9,11,44,43,61,13,61,17,10,16,13,12,67,23,64,13,Arquero,3,Right,190,84,64,61,58,61.0,63.0
Stav Lemkin,63,60,70,25,17,45,21,24,31,34,24,28,52,41,27,34,44,48,64,45,53,63,66,66,60,61,75,55,76,58,Defensor,3,Right,190,80,0,0,0,0.0,0.0
Maicol León,63,65,65,56,45,57,52,38,48,61,52,41,66,64,31,66,68,67,62,63,62,55,48,58,64,58,58,74,61,45,Mediocampista,3,Right,177,71,0,0,0,0.0,0.0
Li Songyi,63,53,42,49,51,32,22,35,44,67,53,22,65,64,41,58,58,56,55,57,65,62,71,60,63,54,80,69,82,53,Defensor,3,Right,183,71,0,0,0,0.0,0.0
Erik López,63,62,65,64,67,64,65,58,63,52,35,43,58,40,43,57,72,58,60,60,61,22,67,21,18,20,70,67,66,58,Delantero,3,Right,176,68,0,0,0,0.0,0.0
Leonardo Loria,63,23,29,11,11,45,11,9,11,25,14,13,26,25,12,12,38,30,49,21,31,15,17,10,22,19,57,15,68,21,Arquero,3,Right,195,89,65,63,60,63.0,65.0
Andreas Lukse,63,41,37,15,12,45,9,12,24,34,9,11,32,25,12,13,31,57,59,22,15,28,8,8,10,9,58,24,63,22,Arquero,3,Right,187,83,64,62,60,62.0,63.0
Ismet Lushaku,63,69,67,63,48,46,52,45,40,63,48,60,67,64,63,60,68,76,60,64,62,56,36,55,50,42,51,79,58,41,Mediocampista,3,Right,177,78,0,0,0,0.0,0.0
Ridwane M'Barki,63,61,66,62,58,50,45,45,50,61,64,35,63,62,45,67,50,67,55,65,60,18,38,31,29,30,41,39,45,31,Mediocampista,3,Right,173,65,0,0,0,0.0,0.0
Alex MacDonald,63,71,70,60,57,62,56,54,57,60,63,57,59,56,62,60,83,86,60,60,60,58,53,54,57,55,79,70,72,75,Mediocampista,3,Right,170,72,0,0,0,0.0,0.0
Roman Macek,63,61,65,60,51,63,59,55,54,60,63,41,68,65,62,66,65,52,60,68,61,59,48,62,61,59,58,58,64,55,Mediocampista,3,Right,188,75,0,0,0,0.0,0.0
Paddy Madden,63,55,51,65,65,64,59,63,67,59,51,56,61,49,52,61,69,62,66,62,60,31,63,42,39,26,69,73,71,57,Delantero,3,Right,183,76,0,0,0,0.0,0.0
Piotr Malarczyk,63,36,43,29,25,28,38,29,27,42,33,34,50,52,35,48,49,59,60,50,58,63,59,66,62,61,65,62,81,60,Defensor,3,Right,189,91,0,0,0,0.0,0.0
Elias Manoel,63,90,87,62,60,60,47,41,62,50,39,27,52,35,60,68,77,84,53,67,45,14,61,19,10,13,78,75,76,45,Delantero,3,Right,176,73,0,0,0,0.0,0.0
Jérémy Manzorro,63,79,58,62,54,58,52,49,58,60,54,54,65,59,61,69,69,80,61,64,56,37,46,29,15,14,63,64,58,61,Mediocampista,3,Right,173,70,0,0,0,0.0,0.0
Lucas Maronnier,63,71,67,56,26,27,28,29,42,53,56,38,62,53,35,59,58,83,58,58,55,57,54,58,62,65,52,69,43,58,Defensor,3,Right,174,65,0,0,0,0.0,0.0
Fredy Martínez,63,72,72,58,28,25,28,25,50,45,66,44,55,55,41,66,65,70,60,60,44,60,49,55,61,60,48,66,40,55,Defensor,3,Left,170,67,0,0,0,0.0,0.0
Konrad Matuszewski,63,77,75,58,42,50,45,27,35,64,63,35,62,60,52,60,60,77,59,60,51,59,49,58,62,57,66,74,63,56,Mediocampista,1,Left,176,75,0,0,0,0.0,0.0
Moses Mawa,63,82,82,62,61,65,53,53,58,59,53,43,55,41,52,62,70,75,60,63,61,29,56,26,28,26,84,65,82,63,Delantero,2,Right,185,78,0,0,0,0.0,0.0
Malick Mbaye,63,83,81,62,67,68,51,57,59,57,55,47,54,51,55,61,64,79,46,67,56,22,52,28,26,27,68,59,57,47,Mediocampista,2,Right,173,68,0,0,0,0.0,0.0
Sam McClelland,63,37,47,25,26,48,28,34,33,33,33,29,50,38,31,40,34,53,62,50,49,63,62,64,63,62,69,62,83,60,Defensor,2,Right,191,79,0,0,0,0.0,0.0
Jon McCracken,63,39,30,6,7,45,5,9,19,44,11,14,22,25,10,7,44,49,51,11,45,10,13,9,12,14,59,23,64,28,Arquero,2,Right,190,77,64,62,60,62.0,65.0
Patrick McEleney,63,50,55,64,60,64,60,62,61,59,57,61,63,64,63,66,80,67,61,66,71,51,56,53,55,47,56,33,56,46,Mediocampista,4,Right,180,84,0,0,0,0.0,0.0
Paolo Medina,63,74,75,55,34,40,37,34,45,48,60,34,59,57,57,60,74,67,57,61,52,57,57,55,62,61,69,66,62,60,Defensor,3,Right,177,66,0,0,0,0.0,0.0
Elias Hoff Melkersen,63,73,74,63,64,67,59,59,55,50,51,48,56,45,55,60,78,70,59,61,56,30,56,28,29,17,69,75,62,67,Delantero,4,Right,178,70,0,0,0,0.0,0.0
Camilo Mena,63,79,79,63,56,60,56,42,53,57,58,50,59,57,59,68,82,81,44,66,59,33,38,40,40,33,46,62,40,49,Delantero,2,Right,175,63,0,0,0,0.0,0.0
Rodri Mendoza,63,59,60,64,60,50,61,35,42,66,32,42,65,62,38,64,59,58,63,62,50,60,45,43,67,53,53,54,57,55,Mediocampista,3,Right,182,72,0,0,0,0.0,0.0
Juan José Mera,63,61,63,24,30,44,35,29,31,26,30,27,42,33,23,25,40,54,61,44,50,62,65,62,65,62,76,55,78,61,Defensor,2,Right,185,82,0,0,0,0.0,0.0
Daniel Mesenhöler,63,50,48,17,15,42,18,17,23,15,18,15,32,25,18,12,34,51,63,21,28,21,14,12,20,12,63,33,63,21,Arquero,3,Right,187,83,63,65,56,61.0,62.0
Ivan Mesík,63,62,61,52,35,60,35,38,32,53,55,35,66,64,55,57,57,61,58,64,62,59,60,59,61,60,77,67,82,60,Defensor,4,Left,187,75,0,0,0,0.0,0.0
Blondon Meyapya,63,62,73,34,31,43,23,20,27,46,39,23,50,42,41,47,54,59,61,52,59,60,64,59,65,63,73,62,75,70,Defensor,3,Right,185,88,0,0,0,0.0,0.0
Cristian Mihai,63,63,66,41,50,55,52,52,49,55,50,48,69,65,54,58,59,76,57,62,57,58,55,59,58,53,63,80,60,58,Mediocampista,3,Right,175,72,0,0,0,0.0,0.0
Facundo Milán,63,67,64,70,69,55,67,73,70,56,49,59,50,45,60,53,68,54,61,63,54,33,68,30,30,35,68,64,58,42,Delantero,3,Left,184,75,0,0,0,0.0,0.0
Matías Mir,63,66,75,62,55,50,60,48,60,64,63,48,60,62,40,63,72,67,51,60,61,62,55,64,63,64,64,67,60,65,Mediocampista,3,Right,182,74,0,0,0,0.0,0.0
Iyad Mohamed,63,54,56,45,45,55,28,31,45,47,49,39,65,59,39,58,56,43,58,62,57,59,50,62,65,62,60,61,70,64,Mediocampista,3,Left,191,80,0,0,0,0.0,0.0
Naeem Mohammed,63,83,82,64,63,57,59,50,57,55,33,35,55,43,36,62,79,75,59,63,58,18,52,19,25,22,77,63,75,38,Delantero,3,Right,175,77,0,0,0,0.0,0.0
Adam Montgomery,63,76,74,60,52,62,48,50,48,56,60,34,63,55,56,66,78,75,60,65,58,55,54,53,61,59,65,67,56,65,Defensor,3,Left,173,68,0,0,0,0.0,0.0
Martin Moormann,63,63,60,28,31,49,23,29,41,39,52,25,55,53,48,38,51,60,65,47,51,63,65,62,64,64,76,68,77,71,Defensor,3,Left,185,82,0,0,0,0.0,0.0
James Morris,63,65,61,47,32,45,28,29,33,37,58,39,54,49,51,62,59,55,60,60,44,62,54,63,66,64,63,63,65,61,Defensor,3,Left,183,76,0,0,0,0.0,0.0
Bryn Morris,63,68,66,50,53,70,68,58,47,56,50,46,61,65,47,57,74,72,57,59,55,63,55,58,60,59,75,86,66,58,Mediocampista,3,Right,182,71,0,0,0,0.0,0.0
Louis Moult,63,35,36,68,67,66,56,61,66,55,34,57,62,44,55,58,58,56,63,64,60,24,67,44,36,28,68,48,80,76,Delantero,3,Right,183,85,0,0,0,0.0,0.0
Tom Moustier,63,63,65,57,48,62,52,41,48,66,48,60,67,62,55,67,59,62,65,66,63,50,58,55,63,59,66,62,65,59,Mediocampista,3,Right,185,75,0,0,0,0.0,0.0
Joseph N'Duquidi,63,67,69,55,37,62,51,34,56,63,54,50,63,58,59,66,67,60,59,65,60,58,60,59,64,63,68,63,64,64,Mediocampista,3,Right,187,74,0,0,0,0.0,0.0
Bilal Nadir,63,62,54,54,48,63,52,44,58,65,49,55,68,64,41,62,66,63,62,65,63,53,53,57,62,53,55,68,53,66,Mediocampista,4,Left,179,62,0,0,0,0.0,0.0
Abdenego Nankishi,63,87,80,52,51,57,49,50,47,52,55,39,59,47,56,70,81,77,62,64,57,50,30,21,27,19,69,63,60,37,Mediocampista,3,Right,178,76,0,0,0,0.0,0.0
Ben Nelson,63,64,69,31,29,49,27,28,39,42,35,30,53,49,39,46,61,67,59,58,53,62,62,60,63,60,75,62,76,63,Defensor,4,Right,187,74,0,0,0,0.0,0.0
Thijmen Nijhuis,63,17,18,7,6,44,8,9,18,36,12,12,26,24,14,12,33,29,65,18,25,12,12,10,14,14,48,20,57,20,Arquero,3,Right,197,83,65,57,58,63.0,64.0
Lasse Nilsen,63,81,81,55,53,60,53,47,40,49,59,40,57,48,55,61,73,73,53,60,58,56,45,57,57,57,69,78,70,54,Defensor,2,Left,180,78,0,0,0,0.0,0.0
Snorre Strand Nilsen,63,62,67,50,38,52,42,29,38,56,60,30,55,55,55,60,56,62,58,59,50,60,54,59,61,60,67,76,74,60,Defensor,2,Right,186,82,0,0,0,0.0,0.0
Ilmari Niskanen,63,76,74,57,55,62,61,52,48,59,61,58,62,51,64,63,77,80,59,63,58,55,46,56,61,57,65,67,65,53,Defensor,4,Right,177,78,0,0,0,0.0,0.0
Bilal Njie,63,88,86,61,61,63,50,53,51,53,54,37,53,47,45,64,86,82,56,62,50,21,50,23,27,25,69,64,57,42,Mediocampista,4,Right,184,72,0,0,0,0.0,0.0
Steffen Nkansah,63,70,71,36,27,42,25,20,40,35,40,30,57,43,31,42,60,59,58,50,53,64,65,61,66,64,75,73,71,55,Defensor,3,Right,188,78,0,0,0,0.0,0.0
No Dong Geon,63,43,41,11,16,47,14,18,25,24,17,18,28,42,15,12,46,45,57,15,63,16,15,16,16,13,65,24,72,41,Arquero,3,Right,190,88,65,63,62,61.0,62.0
Connor O'Riordan,63,55,55,31,28,49,26,35,29,42,36,25,57,56,34,48,49,41,56,51,54,62,62,63,63,61,73,67,80,66,Defensor,3,Right,193,84,0,0,0,0.0,0.0
Luke Offord,63,66,64,42,24,33,30,28,29,47,44,31,55,49,30,51,65,57,59,53,54,64,60,60,62,60,81,72,73,63,Defensor,3,Right,183,80,0,0,0,0.0,0.0
Shadrach Ogie,63,73,77,38,35,61,38,30,35,45,43,25,54,48,42,56,67,62,55,57,58,60,60,62,62,59,86,72,75,68,Defensor,3,Left,183,78,0,0,0,0.0,0.0
Andrea Oliveri,63,76,72,56,56,60,55,51,52,61,64,50,66,58,62,64,71,69,60,64,60,50,52,46,41,33,54,41,41,55,Mediocampista,3,Right,181,74,0,0,0,0.0,0.0
Alexandru Oroian,63,81,83,52,60,65,56,42,52,58,59,37,62,55,64,64,83,87,59,63,53,57,45,57,57,55,66,67,60,55,Defensor,2,Right,175,72,0,0,0,0.0,0.0
Jesse Öst,63,27,31,8,7,49,9,20,31,62,10,27,43,45,35,15,32,28,63,25,42,23,25,12,18,24,64,30,75,36,Arquero,4,Right,194,86,62,63,65,61.0,63.0
Fabricio Oviedo,63,53,53,61,66,67,62,63,59,47,41,37,52,48,59,61,54,62,63,64,51,21,70,39,30,34,67,66,67,34,Delantero,3,Right,181,76,0,0,0,0.0,0.0
Yasin Özcan,63,63,67,38,25,62,35,22,43,28,47,20,57,47,40,52,62,53,58,58,58,63,60,66,65,63,67,69,64,70,Defensor,2,Left,185,75,0,0,0,0.0,0.0
David Ozoh,63,64,65,58,54,55,52,40,50,52,49,41,64,56,52,65,69,67,62,63,58,64,55,52,65,63,70,60,75,74,Mediocampista,3,Right,190,68,0,0,0,0.0,0.0
Pacheco,63,60,60,62,58,59,60,38,55,64,59,48,65,63,40,62,62,59,60,67,49,59,58,59,57,57,63,64,61,62,Mediocampista,3,Right,184,72,0,0,0,0.0,0.0
Ollie Palmer,63,46,42,63,65,64,58,64,64,60,40,39,60,52,42,56,32,34,61,63,65,24,67,13,32,30,67,56,91,84,Delantero,3,Right,196,92,0,0,0,0.0,0.0
Tim Paterok,63,33,34,15,13,47,16,16,21,31,15,14,29,28,18,19,39,38,47,20,35,15,12,6,16,14,53,34,55,20,Arquero,2,Right,192,79,66,62,62,63.0,66.0
Alex Pattison,63,82,81,62,60,60,60,45,60,62,55,53,64,62,55,62,84,84,62,62,63,62,54,55,60,58,82,82,67,62,Mediocampista,3,Right,173,70,0,0,0,0.0,0.0
Peng Xinli,63,78,74,61,58,65,64,62,60,59,59,67,62,61,66,60,80,78,63,61,67,61,60,63,62,57,75,76,64,64,Mediocampista,3,Left,177,65,0,0,0,0.0,0.0
Eric Pérez,63,74,75,47,70,72,51,53,71,54,62,55,59,48,51,68,52,64,55,68,52,21,49,20,32,36,61,44,57,36,Delantero,2,Right,180,74,0,0,0,0.0,0.0
Tom Pett,63,55,50,58,53,58,57,51,56,62,58,56,64,62,59,60,81,80,63,62,64,63,37,51,61,60,40,82,47,63,Mediocampista,4,Right,173,70,0,0,0,0.0,0.0
David Philipp,63,75,81,60,62,70,59,59,42,61,45,59,63,50,63,67,77,74,63,67,60,38,43,45,37,27,56,64,57,46,Delantero,4,Left,180,79,0,0,0,0.0,0.0
Ricardo Matos,63,72,70,62,63,65,55,60,65,68,51,58,57,50,55,65,72,67,61,66,61,28,62,19,25,22,71,69,60,48,Delantero,4,Right,182,77,0,0,0,0.0,0.0
Joel Pinto,63,52,49,15,13,44,12,11,13,34,11,11,41,26,20,14,58,46,66,24,28,23,13,7,13,15,65,33,69,24,Arquero,1,Right,183,75,59,62,59,64.0,62.0
Hugo Cunha,63,18,20,4,8,49,8,5,18,39,14,11,28,20,12,12,21,22,45,17,29,14,13,7,10,13,58,23,74,19,Arquero,3,Right,198,91,68,60,65,61.0,68.0
Matthew Platt,63,55,59,25,25,37,23,27,34,45,33,25,51,55,25,52,53,61,58,52,52,61,62,60,61,60,75,71,82,65,Defensor,3,Right,188,80,0,0,0,0.0,0.0
Paris Polykarpou,63,64,63,40,29,47,29,28,39,45,41,32,64,59,40,49,59,65,59,65,55,60,59,65,65,61,63,72,59,68,Mediocampista,3,Right,182,74,0,0,0,0.0,0.0
Walter Ponce,63,64,67,65,65,65,53,48,57,37,37,49,54,49,33,65,65,57,48,66,57,18,64,35,18,14,70,58,67,53,Delantero,3,Right,180,68,0,0,0,0.0,0.0
Marcos Portillo,63,73,71,63,56,62,63,45,50,60,50,53,65,64,49,68,62,75,62,64,55,60,54,44,64,63,53,60,43,67,Mediocampista,3,Right,174,68,0,0,0,0.0,0.0
Edgar Pujol,63,56,61,31,21,32,19,21,39,45,25,26,63,53,25,49,53,72,62,61,60,62,62,60,66,64,65,57,62,61,Defensor,3,Right,177,73,0,0,0,0.0,0.0
