Name,Height,Weight,Position,OVR,Preferred foot,Weak foot,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Def Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
David John Wheeler,180,76,Mediocampista,64,Right,3,59,62,65,66,51,61,54,53,65,62,79,78,79,62,73,63,78,76,70,59,55,61,62,62,59,63,59,59,55,12,13,11,10.0,14.0
李源一 Li Yuanyi,183,78,Mediocampista,64,Left,2,56,54,57,68,60,58,59,57,62,62,73,72,81,66,62,68,74,86,72,59,58,60,59,62,56,53,60,56,56,11,9,13,6.0,6.0
David Vicente Robles,177,67,Defensor,64,Right,2,60,37,49,58,30,60,38,40,36,61,67,69,74,63,74,31,57,73,56,36,54,59,59,43,46,52,51,64,62,9,12,6,7.0,13.0
Mateo Argüello Santoro,178,72,Defensor,64,Right,2,58,36,58,56,29,57,36,33,50,58,71,73,70,55,60,32,69,60,63,34,41,65,49,42,37,47,60,65,62,14,6,6,12.0,10.0
Toon Raemaekers,194,85,Defensor,64,Right,3,52,39,68,62,34,55,59,66,70,61,53,51,46,57,39,65,71,52,75,51,62,64,22,48,47,59,57,64,65,13,8,13,12.0,8.0
Ryan Joseph Sweeney,193,87,Defensor,64,Left,1,49,32,65,54,26,48,39,33,51,51,52,60,55,56,62,46,75,75,85,30,82,58,35,44,32,57,61,62,60,8,14,7,10.0,9.0
Antoine Valério,185,75,Mediocampista,64,Left,2,49,47,56,72,45,67,61,54,65,68,69,63,71,59,62,63,68,64,70,45,62,58,58,60,48,61,59,63,58,8,13,10,8.0,11.0
Sandro Notaroberto Peci,183,75,Defensor,64,Left,2,63,43,58,62,21,55,52,28,58,61,71,74,64,58,62,29,71,66,68,38,50,57,42,37,40,61,60,63,59,13,11,14,7.0,5.0
Lewis Fiorini,178,68,Mediocampista,64,Right,3,51,57,48,65,50,66,57,46,63,66,71,66,73,63,79,58,56,75,52,67,58,57,62,64,55,65,52,58,54,9,8,15,12.0,10.0
Oswaldo Avalonez,186,72,Arquero,64,Right,2,11,5,11,20,6,10,14,13,17,14,29,30,30,64,38,47,41,20,42,11,26,12,7,28,15,35,6,15,15,65,60,62,62.0,66.0
Victor Parada González,187,76,Defensor,64,Left,3,52,39,50,65,49,60,35,46,59,59,68,73,69,60,60,58,63,70,65,49,63,65,50,60,48,63,62,60,62,14,10,13,12.0,12.0
Anis Hadj Moussa,172,65,Mediocampista,64,Left,3,58,49,35,62,39,71,50,38,54,70,76,74,79,64,80,57,45,61,42,40,35,21,44,60,48,58,29,29,36,7,5,15,12.0,6.0
Ryan Edwards,175,73,Mediocampista,64,Right,2,57,62,52,64,57,64,63,45,62,66,72,67,81,59,79,63,65,92,61,60,68,58,60,62,58,59,60,62,58,12,14,9,6.0,15.0
Ben Hinchliffe,185,73,Arquero,64,Right,3,24,10,25,43,12,15,30,28,51,26,37,44,54,58,41,47,62,37,63,17,29,22,17,56,21,55,22,18,12,63,60,62,65.0,66.0
Filippo Melegoni,186,74,Mediocampista,64,Right,2,59,49,49,70,47,63,62,57,70,65,49,55,63,68,67,70,53,63,60,47,49,59,64,70,64,63,58,56,58,12,13,6,7.0,7.0
Marcel Engelhardt,191,88,Arquero,64,Right,2,18,13,18,23,13,18,13,16,23,19,48,43,39,54,43,46,71,38,79,15,17,24,18,30,19,30,26,20,19,69,58,61,64.0,67.0
Allan Arigoni,184,80,Defensor,64,Right,2,50,28,58,55,35,59,41,36,54,56,88,90,81,53,60,53,82,74,75,41,70,57,57,46,40,52,58,65,60,8,9,7,9.0,7.0
Fawaz Balqassem Al Qarni,183,90,Arquero,64,Right,3,11,16,14,29,13,13,20,14,39,17,42,46,50,57,52,45,54,31,52,12,24,18,16,21,23,46,30,14,13,67,59,60,64.0,66.0
Christos Emil Gravius,181,72,Mediocampista,64,Left,2,55,43,34,66,59,62,64,66,65,65,62,64,75,61,74,64,49,76,59,52,58,57,62,67,48,65,55,57,54,9,6,10,10.0,8.0
Arthur Lyska,190,88,Arquero,64,Right,3,13,7,10,27,5,8,8,12,23,15,38,49,44,48,58,47,59,41,66,5,23,10,7,36,10,36,11,9,12,66,63,63,66.0,67.0
Aitor Gelardo Vegara,180,66,Mediocampista,64,Right,4,52,54,41,68,54,64,53,60,65,69,64,64,66,58,59,58,48,63,53,57,43,53,60,66,62,45,52,56,40,12,7,6,15.0,13.0
Dragoș Grigore,185,77,Defensor,64,Right,2,45,45,66,62,49,38,52,50,64,44,45,53,46,60,58,68,67,59,74,62,75,62,48,53,56,61,63,65,63,10,8,15,9.0,13.0
Liam Michael Sercombe,178,69,Mediocampista,64,Right,4,58,56,55,65,53,61,62,55,64,64,50,53,69,63,73,66,60,81,63,59,58,55,60,65,62,63,51,59,53,12,8,16,14.0,13.0
Cristian Damián Battocchio,171,76,Mediocampista,64,Right,3,62,58,49,66,48,67,67,67,65,67,67,61,70,66,82,73,54,56,52,69,71,56,60,67,61,63,58,55,57,9,14,13,9.0,12.0
Deybi Aldair Flores Flores,182,68,Mediocampista,64,Right,2,55,37,50,62,46,60,50,57,60,60,78,77,52,60,69,60,69,72,66,54,73,64,56,58,58,60,57,66,58,13,7,8,15.0,10.0
Trond Dennis Widgren,180,77,Defensor,64,Left,2,57,38,58,61,44,59,62,57,58,60,68,66,67,60,74,62,68,73,66,56,57,61,48,58,45,62,61,59,59,6,7,5,8.0,8.0
Tyreeq Bakinson,191,82,Mediocampista,64,Right,3,44,50,61,66,47,65,50,42,64,64,63,60,63,63,57,68,76,72,80,63,63,65,57,65,45,68,63,64,63,8,8,11,13.0,8.0
Erik Tallig,178,73,Mediocampista,64,Left,4,61,58,51,68,48,67,58,67,63,67,76,71,85,61,81,64,67,83,60,61,49,56,62,60,50,61,49,51,47,9,9,7,9.0,12.0
David Justin Taylor,173,72,Defensor,64,Right,2,55,25,47,58,24,56,30,25,51,60,70,70,56,64,71,36,66,69,75,31,60,61,47,43,31,44,60,63,62,13,11,10,14.0,13.0
Samuel Colin Walker,198,85,Arquero,64,Right,2,17,11,15,25,15,19,16,20,26,25,40,45,32,60,38,46,60,37,63,11,27,16,11,29,12,46,20,14,14,64,61,61,64.0,65.0
Youssef Abdel Razaq Youssef,177,68,Mediocampista,64,Right,3,41,57,51,66,56,48,51,64,78,86,80,63,69,55,55,53,53,50,41,27,62,57,49,53,28,30,32,13,6,6,15,7,0.0,0.0
Benjamin Källman,181,75,Delantero,64,Right,3,36,63,68,55,50,64,44,36,45,62,80,79,73,53,71,62,87,71,82,57,60,19,61,55,60,65,22,13,16,7,9,11,8.0,5.0
Pau Casadesús Castro,183,72,Defensor,64,Right,3,61,40,54,61,33,58,54,39,52,61,76,73,66,58,67,55,69,68,62,44,58,58,50,52,42,52,58,60,58,9,12,9,6.0,7.0
Umberto Saracco,190,83,Arquero,64,Right,1,16,18,21,25,17,18,20,12,27,22,47,39,36,51,56,44,57,42,52,16,24,23,13,15,28,41,22,21,14,64,62,59,64.0,69.0
Clementino González Martínez,186,82,Delantero,64,Right,4,51,68,68,60,56,65,56,65,55,56,72,69,73,63,74,58,78,68,72,65,45,23,65,55,66,65,34,33,35,8,8,14,10.0,14.0
Eskil Smidesang Edh,181,77,Defensor,64,Right,3,59,49,49,58,48,60,56,48,54,63,79,81,75,57,76,55,64,72,59,45,55,57,58,53,47,59,57,62,57,15,6,12,6.0,7.0
Hans Oskar Jonathan Augustinsson,185,80,Defensor,64,Left,4,64,45,57,64,28,61,62,65,61,64,68,70,65,54,69,55,71,70,72,53,53,53,50,48,53,54,56,65,64,8,7,12,14.0,6.0
Diogo Lucas Queirós,185,80,Defensor,64,Right,3,24,38,65,57,20,39,29,20,58,60,54,42,54,60,63,55,71,64,75,16,65,62,21,30,52,56,62,66,63,10,15,7,6.0,15.0
Anders Jenssen,185,84,Defensor,64,Right,2,33,25,63,62,38,39,32,30,56,55,52,53,49,60,55,52,74,67,82,25,56,62,28,31,40,59,63,63,61,11,9,14,15.0,13.0
Sander Erik Kartum,180,73,Mediocampista,64,Right,3,63,53,52,65,48,64,62,52,66,65,76,72,76,60,71,60,66,76,59,54,62,55,63,66,43,65,54,58,55,13,9,15,8.0,9.0
Tanguy Banhie-Zoukrou,189,78,Defensor,64,Right,3,38,29,64,51,34,36,33,34,47,48,46,52,35,63,49,42,63,58,66,25,63,64,28,34,42,46,65,68,69,10,12,8,6.0,14.0
Jack Baldwin,185,70,Defensor,64,Right,4,47,42,65,59,27,52,39,21,57,54,57,63,63,60,62,46,72,72,75,33,61,62,40,49,32,67,62,64,63,11,12,6,11.0,14.0
Nahuel Alejandro Génez,173,70,Defensor,64,Left,2,56,47,65,60,35,56,48,53,57,60,71,71,68,59,67,48,73,58,65,56,59,60,40,52,46,60,61,64,65,12,8,14,10.0,14.0
Chris-Emmanuel Dikwama Lokesa,185,70,Mediocampista,64,Right,2,56,55,46,65,55,67,56,48,62,67,74,70,86,60,45,60,57,58,42,49,45,33,53,64,51,59,42,37,32,6,6,10,8.0,10.0
Berkay Sülüngöz,188,81,Defensor,64,Right,2,28,24,56,51,26,27,27,27,50,38,55,61,57,50,50,39,70,70,80,23,65,63,42,30,44,58,65,68,67,10,9,9,5.0,15.0
Alessandro Rossi,183,78,Delantero,64,Right,2,52,66,64,65,61,63,53,50,49,65,68,63,59,62,46,67,75,59,74,59,43,32,60,48,53,55,28,26,24,7,5,14,10.0,6.0
Ulysses Llanez Jr.,178,68,Mediocampista,64,Right,4,58,55,51,64,55,64,60,56,54,65,80,78,81,58,77,65,66,59,57,56,57,39,59,62,63,65,28,39,36,6,10,6,11.0,5.0
Lucas Jozef Lissens,184,74,Defensor,64,Right,3,43,21,66,61,23,46,28,29,63,64,63,68,67,54,62,42,70,54,68,27,70,64,24,39,31,46,56,66,64,15,14,13,10.0,6.0
Julius Kade,182,67,Mediocampista,64,Left,3,59,54,53,69,50,66,59,49,63,68,74,65,78,62,76,46,50,77,34,47,50,62,55,64,46,57,63,62,61,6,6,9,14.0,10.0
Cem Tuna Türkmen,178,72,Mediocampista,64,Right,3,49,41,53,70,42,68,39,37,62,68,63,54,69,58,71,54,56,72,53,39,61,59,48,53,40,55,63,64,63,10,8,11,6.0,6.0
Francisco Pedro Tiago Silva,172,70,Delantero,64,Left,4,66,61,48,58,55,70,48,55,55,66,72,72,65,53,70,67,56,53,51,60,46,42,60,62,67,55,40,45,44,6,6,11,10.0,14.0
Frederik Franck Winther,190,83,Defensor,64,Left,2,38,26,62,66,25,54,38,25,65,63,56,54,56,63,60,48,69,56,71,26,53,64,34,38,30,58,65,66,62,9,13,6,11.0,7.0
Jo Coppens,190,72,Arquero,64,Left,2,10,11,11,26,20,17,16,11,22,25,43,42,38,57,47,47,59,33,62,17,24,15,9,30,36,25,12,13,12,66,60,62,60.0,67.0
Kacper Bieszczad,192,82,Arquero,64,Right,2,12,9,11,26,7,5,10,12,19,12,39,32,27,54,22,47,56,28,59,9,22,8,4,45,14,25,5,13,13,64,61,63,66.0,64.0
Luca Maniero,187,80,Arquero,64,Right,3,13,12,16,28,17,13,19,16,25,34,41,39,55,53,32,46,62,30,68,15,17,12,10,30,22,49,12,14,14,65,64,61,64.0,66.0
Donervon Joseph Daniels,186,91,Defensor,64,Right,2,45,22,61,53,31,48,41,23,51,45,57,61,48,64,49,45,75,72,82,20,69,62,33,40,36,59,65,64,62,13,10,10,16.0,11.0
Brent Kallman,188,86,Defensor,64,Right,2,32,31,63,67,34,36,32,31,66,31,50,42,33,59,45,57,73,70,81,40,72,64,39,32,49,57,66,63,56,9,11,11,11.0,14.0
Ramón Juan Ramírez,179,79,Arquero,64,Right,3,12,9,10,27,8,9,12,14,23,11,24,27,33,59,44,45,39,16,42,8,25,8,5,28,17,39,6,10,10,61,62,60,65.0,66.0
Adam Gabriel,190,84,Defensor,64,Right,2,62,27,77,58,29,58,41,23,53,63,67,71,58,59,44,46,87,70,77,38,78,63,57,47,34,50,55,58,57,10,10,9,12.0,8.0
Christian Theodor Kjelder Rasmussen,184,73,Delantero,64,Left,3,51,65,52,60,57,67,51,58,51,68,84,82,73,62,74,66,64,60,67,60,37,20,58,52,63,49,21,14,17,5,14,9,9.0,5.0
Santiago López Grobin,175,60,Delantero,64,Right,3,50,70,54,59,60,62,65,41,50,63,79,80,78,58,70,66,63,65,52,54,50,22,63,62,63,62,20,22,22,9,15,9,8.0,12.0
William Luke Patching,185,70,Mediocampista,64,Right,3,63,61,56,66,59,65,67,70,64,64,64,58,67,59,64,62,64,71,60,64,48,49,60,65,57,66,47,50,46,6,7,12,5.0,10.0
Samuel Joseph Finley,170,68,Mediocampista,64,Right,3,59,54,57,66,52,62,57,51,63,66,59,55,73,64,87,63,60,77,58,60,85,61,56,62,51,68,60,64,59,15,7,6,10.0,7.0
Iker Bilbao Mendiguren,182,77,Mediocampista,64,Right,3,49,49,61,71,48,62,53,68,67,64,56,57,56,64,61,63,66,70,66,58,65,57,50,63,57,56,55,57,62,8,12,8,13.0,13.0
Julian Riedel,182,76,Defensor,64,Right,4,38,38,58,62,40,57,57,32,61,60,69,68,68,65,67,45,69,71,69,21,62,64,52,47,44,64,66,65,64,7,7,12,8.0,9.0
Charlie Austin,188,84,Delantero,64,Right,2,56,65,67,60,65,59,59,49,46,64,47,44,60,63,52,74,73,45,83,60,66,44,66,58,78,66,20,37,22,9,11,7,9.0,13.0
Calvin Marc Brackelmann,196,86,Defensor,64,Left,3,51,45,61,63,47,48,53,47,60,52,68,66,58,60,60,55,80,70,85,44,66,56,50,53,45,55,60,65,63,7,9,15,13.0,10.0
Vladislav Blănuță,190,76,Delantero,64,Right,3,31,66,69,50,50,64,45,45,32,62,64,68,58,52,50,68,75,67,72,52,36,18,68,47,60,58,23,20,20,5,11,7,10.0,11.0
Santiago Alexander Quirós,179,79,Defensor,64,Left,3,48,32,58,67,36,53,42,40,55,62,56,64,45,62,44,47,64,47,67,33,69,65,37,52,45,70,61,66,65,10,11,7,9.0,7.0
Mustafa Amini,173,71,Mediocampista,64,Right,4,53,56,45,67,56,65,51,45,63,67,64,53,77,63,75,68,62,73,71,61,68,58,64,64,45,64,57,58,52,15,15,16,16.0,10.0
Rafik Belghali,186,73,Defensor,64,Right,2,62,60,51,63,55,65,58,56,56,62,80,83,71,58,61,63,66,57,58,58,61,57,60,60,55,64,58,63,60,11,8,13,12.0,6.0
Jhonny Arandero,177,72,Mediocampista,64,Right,3,43,57,71,67,63,58,63,54,65,60,76,74,81,64,80,80,78,60,59,73,65,63,54,65,62,61,62,63,60,11,13,16,8.0,10.0
Matthew Robert Smith,175,69,Mediocampista,64,Right,2,60,55,47,65,38,65,63,56,66,65,71,71,82,62,82,60,63,72,65,58,65,59,60,64,45,68,61,60,58,13,6,11,12.0,11.0
Harry George Kite,176,69,Mediocampista,64,Right,3,48,53,49,67,60,64,56,50,63,65,70,71,79,62,75,70,61,76,62,65,48,58,60,62,52,61,56,64,57,14,6,15,7.0,12.0
顾操 Gu Cao,183,73,Defensor,64,Right,2,36,46,60,50,22,62,24,29,51,54,38,49,45,63,55,38,55,36,59,33,68,68,48,43,30,60,70,68,62,10,7,6,9.0,8.0
Dinis Lourenço Casals Namura Borges Pinto,178,73,Defensor,64,Right,3,60,34,42,56,48,61,50,49,57,62,73,72,70,63,69,56,55,54,55,43,52,60,46,49,50,49,62,63,65,8,8,5,12.0,7.0
Maciej Żurawski,184,77,Mediocampista,64,Right,3,54,56,50,65,38,61,57,41,62,64,76,68,72,67,75,57,68,80,64,53,63,58,59,65,43,69,55,60,62,9,8,8,13.0,14.0
Nicholas Alexander McCormack Clark,178,66,Delantero,64,Right,3,52,66,63,64,55,63,52,54,60,62,69,68,71,62,76,66,69,69,60,62,46,24,67,58,74,61,23,41,35,14,7,15,9.0,8.0
Hussein Carneil,176,74,Mediocampista,64,Right,3,48,52,29,68,39,67,42,39,56,68,70,69,61,51,74,55,36,58,34,44,36,24,70,64,40,65,24,24,22,9,9,9,13.0,7.0
Henok Teklab,174,70,Mediocampista,64,Right,4,65,61,54,65,53,64,62,63,60,61,72,70,78,53,79,61,61,59,54,56,52,29,62,67,65,65,36,36,35,11,15,10,13.0,12.0
Jack Marriott,173,71,Delantero,64,Right,4,41,63,60,56,62,60,48,35,45,61,81,77,78,62,81,66,76,70,64,59,50,22,64,58,64,69,20,25,15,7,14,6,10.0,8.0
Marko Raguž,192,80,Delantero,64,Right,3,52,62,64,64,65,70,57,52,55,68,57,61,73,56,55,67,68,24,70,58,53,21,68,60,65,64,14,20,16,5,9,7,12.0,7.0
Cheick Tiemoko Diabate,192,84,Defensor,64,Right,3,30,28,63,58,25,51,32,25,53,56,70,72,60,61,54,38,80,63,83,26,55,59,30,30,35,60,61,66,62,11,10,12,10.0,14.0
Kerim Alıcı,183,73,Defensor,64,Right,2,61,50,57,62,35,63,63,34,60,62,71,73,72,52,67,52,60,63,61,47,64,62,57,53,46,60,63,65,61,12,7,9,6.0,11.0
Lucas Gemello,190,84,Arquero,64,Right,2,14,7,11,19,7,9,11,20,23,18,31,31,28,44,22,50,55,18,61,5,23,14,7,35,19,37,5,11,10,64,64,66,65.0,67.0
Apostolos Stamatelopoulos,184,84,Delantero,64,Right,3,46,65,66,56,56,58,55,55,49,61,66,71,65,63,69,65,77,71,78,54,68,32,67,55,64,62,29,39,36,6,9,7,12.0,12.0
Yannick Leliendal,169,68,Defensor,64,Left,3,61,38,51,58,29,62,49,36,53,58,76,73,68,63,62,52,58,65,45,53,57,61,45,55,46,62,59,62,63,9,14,5,11.0,11.0
James Lewis Jones,188,91,Arquero,64,Right,2,13,13,11,32,12,15,12,18,38,23,32,36,48,59,42,50,49,27,51,15,25,19,7,40,45,35,8,13,13,64,63,66,64.0,64.0
Patrick John Brough,191,76,Defensor,64,Left,2,58,50,63,55,38,56,52,42,50,58,71,77,63,59,53,55,82,82,84,44,66,59,53,53,46,54,59,60,57,15,10,7,15.0,11.0
Sven Tobias Müller,190,82,Arquero,64,Right,2,13,8,12,30,8,12,10,10,31,13,16,27,25,49,27,44,53,20,66,8,26,9,7,41,11,35,11,13,10,65,66,58,64.0,67.0
Samuel Bamba,179,70,Mediocampista,64,Right,4,61,54,29,64,55,70,57,35,45,65,84,78,85,58,85,52,47,50,44,42,32,25,52,56,39,48,27,20,21,7,5,12,5.0,15.0
Owen Wolff,175,66,Mediocampista,64,Right,3,61,42,45,68,41,64,47,33,60,68,71,72,73,62,77,50,48,68,42,36,65,61,60,58,52,62,62,63,58,10,10,13,9.0,6.0
Mateusz Bartolewski,187,76,Defensor,64,Left,2,60,45,48,60,27,59,44,30,46,58,78,77,71,56,64,46,66,66,63,28,56,60,46,44,40,49,60,59,58,9,14,6,10.0,15.0
Mateusz Czyżycki,175,73,Mediocampista,64,Right,3,48,65,49,63,56,64,44,43,64,62,72,70,74,65,58,58,53,77,46,66,61,58,59,63,44,55,47,60,53,7,8,10,14.0,8.0
Miguel Coldado,182,73,Mediocampista,64,Right,3,61,59,72,63,41,61,42,43,61,66,59,55,57,60,61,54,74,65,67,64,61,61,41,65,51,66,57,65,64,11,10,9,8.0,9.0
Daniel Cleary,182,76,Defensor,64,Right,3,34,33,61,60,32,53,34,31,50,52,58,52,44,58,51,50,72,73,76,30,72,61,25,27,50,52,62,64,61,5,8,9,11.0,6.0
Maxime Barthelmé,172,73,Mediocampista,64,Left,3,63,56,53,66,58,64,67,62,61,66,55,61,59,66,83,60,59,54,62,60,67,63,65,72,58,69,51,60,57,8,15,11,16.0,14.0
Unai Marino Alkorta,185,81,Arquero,64,Right,3,14,9,13,20,9,6,12,10,29,13,27,17,34,57,42,41,53,25,59,5,20,7,5,22,10,24,9,10,10,67,64,55,58.0,67.0
Noé Sow,191,75,Defensor,64,Right,2,34,22,66,64,25,52,39,29,65,62,51,57,39,58,65,48,66,60,67,24,59,65,36,33,42,58,62,67,61,9,12,14,9.0,14.0
Daniel Steres,183,78,Defensor,64,Right,3,60,24,73,70,27,36,40,24,62,62,32,41,51,67,55,35,80,60,77,22,68,66,38,35,38,67,65,68,64,14,10,11,8.0,15.0
Carlos Andrés Chore Aguilera,184,88,Defensor,64,Right,2,51,22,56,62,22,45,39,31,58,61,63,55,59,62,69,20,73,66,80,28,60,64,40,37,35,44,63,66,62,13,14,7,13.0,5.0
Yllan Okou,189,75,Defensor,64,Left,2,40,21,62,59,22,51,44,31,46,57,67,71,60,61,57,58,74,51,73,28,55,63,22,44,44,51,62,66,65,10,11,9,5.0,14.0
이기제 李基济 Ki-Je Lee,175,68,Defensor,64,Left,2,72,49,50,64,62,55,72,73,68,67,61,64,59,55,73,71,61,66,64,68,60,63,61,70,56,65,56,62,56,7,12,6,7.0,15.0
丁海峰 Ding Haifeng,182,76,Defensor,64,Left,3,64,46,57,60,42,67,65,69,55,62,84,76,82,60,65,64,75,73,63,56,54,58,60,61,46,59,58,57,56,9,11,11,8.0,15.0
Mathew Antony Stevens,180,74,Delantero,64,Right,3,38,63,62,56,58,61,52,48,41,62,75,74,70,61,68,65,77,70,72,58,55,23,65,54,60,62,18,17,11,6,10,8,12.0,8.0
Alexis Andrés Domínguez Ansorena,185,84,Delantero,64,Right,2,40,65,68,63,60,45,54,47,49,63,65,61,59,63,55,64,78,59,80,58,61,24,66,58,59,53,19,24,29,12,11,7,13.0,10.0
Abdullah Fareed Al Hafith,185,80,Defensor,64,Right,3,36,34,64,63,40,35,33,34,61,51,32,33,61,56,37,37,65,69,78,39,72,63,30,42,42,55,63,65,61,16,12,8,11.0,7.0
Carlos Hernández Alarcón,185,80,Defensor,64,Right,3,50,40,70,54,27,42,50,27,52,44,34,36,36,54,38,72,69,61,81,37,68,64,46,40,39,59,63,63,61,13,9,12,14.0,14.0
Michał Nalepa,190,80,Defensor,64,Right,3,31,34,65,56,42,44,43,37,60,50,37,41,30,60,32,55,72,70,91,48,65,63,45,43,40,55,62,62,60,14,12,8,7.0,13.0
Agustin Pandaña,182,78,Mediocampista,64,Right,3,51,51,73,72,39,62,61,62,71,61,75,70,54,65,55,44,80,67,65,41,67,65,44,67,63,70,52,65,65,7,15,7,8.0,10.0
Josh Benson,178,76,Mediocampista,64,Right,3,61,54,49,68,52,64,64,62,63,65,69,54,74,60,75,64,60,71,62,62,61,61,54,62,52,63,59,65,55,10,12,5,5.0,13.0
Juan Mera González,174,66,Mediocampista,64,Left,3,63,59,46,61,48,68,57,58,54,70,74,72,69,62,67,64,60,52,56,63,37,26,64,61,51,60,55,17,19,7,8,15,9.0,8.0
Jack Clisby,180,72,Defensor,64,Left,3,64,50,54,60,43,58,59,61,53,58,67,66,68,58,61,66,64,74,66,50,65,60,59,58,51,58,59,61,59,9,11,9,13.0,11.0
Si-Young Lee,173,65,Defensor,64,Right,2,55,29,51,56,34,62,44,28,51,58,79,79,71,61,78,57,68,89,60,42,59,57,42,46,37,49,56,56,58,10,6,13,12.0,13.0
Abdallah Ali Mohamed,167,63,Defensor,64,Right,3,61,38,44,59,24,64,62,37,52,61,87,85,86,61,86,49,60,68,52,40,60,60,41,42,43,62,54,57,55,6,7,13,10.0,6.0
Joshua James Griffiths,198,87,Arquero,64,Right,3,13,10,12,40,10,13,14,14,41,20,26,35,37,59,49,46,55,21,63,10,20,12,10,48,10,44,10,10,14,65,62,61,62.0,66.0
Felipe Sebastián Chamorro Aspe,184,72,Mediocampista,64,Left,3,55,55,43,70,45,66,52,45,61,68,67,67,67,56,70,63,55,71,60,59,53,28,63,63,48,55,34,43,41,14,10,15,8.0,7.0
Richard Smallwood,180,72,Mediocampista,64,Right,2,59,53,58,63,49,51,63,57,62,60,50,52,57,63,67,57,62,84,69,55,71,60,56,61,55,59,59,62,60,9,10,15,8.0,16.0
Sory Ibrahim Diarra,187,80,Delantero,64,Right,3,40,67,64,58,62,51,36,34,41,57,76,81,68,60,58,64,83,60,80,52,54,20,67,44,60,64,20,23,22,12,12,10,10.0,10.0
Storm Roux,181,71,Defensor,64,Right,2,59,44,61,52,35,60,49,39,49,58,77,74,76,59,57,58,82,79,78,40,62,59,57,51,38,54,53,59,59,10,14,13,10.0,11.0
Romain Bayard,167,65,Mediocampista,64,Left,3,57,61,51,67,59,68,56,74,60,66,75,72,74,64,80,61,60,78,53,60,64,59,66,62,64,61,54,55,51,11,7,14,13.0,12.0
Paul Huntington,191,80,Defensor,64,Right,2,26,35,65,49,29,32,24,35,53,40,29,30,29,64,32,38,67,63,83,21,77,63,26,33,43,53,65,63,62,7,6,12,9.0,8.0
Дени Мусовски Danny Musovski,183,72,Delantero,64,Right,4,45,69,61,58,49,65,37,31,42,63,62,63,60,60,62,65,67,68,64,53,59,40,67,58,57,59,44,39,39,5,5,5,13.0,13.0
Romaine Mundle,177,61,Mediocampista,64,Right,3,57,57,42,60,46,72,62,51,50,70,83,74,78,54,76,61,58,54,53,52,50,31,56,58,54,59,39,44,30,8,10,10,7.0,7.0
Engjëll Hoti,187,80,Mediocampista,64,Right,3,55,61,35,67,44,66,48,54,67,64,59,68,72,61,51,56,50,51,63,64,48,58,60,63,57,63,33,47,44,13,12,14,7.0,13.0
Marco Knaller,192,86,Arquero,64,Right,3,13,12,13,13,14,13,14,14,14,14,41,44,38,62,26,38,60,37,64,15,23,22,12,22,18,53,16,15,13,62,65,51,64.0,63.0
Dante Polvara,195,81,Mediocampista,64,Right,4,36,48,45,68,36,68,35,37,64,65,65,54,55,58,79,54,66,75,77,47,61,58,54,62,41,69,58,60,53,11,6,9,6.0,15.0
Lucas González,186,77,Delantero,64,Right,3,36,70,64,59,56,58,48,41,34,62,63,66,58,64,62,59,69,56,65,65,30,19,70,48,55,58,16,15,18,13,5,11,10.0,12.0
Valerio Mastrantonio,180,75,Mediocampista,64,Left,3,62,59,60,69,51,65,56,55,65,66,73,74,68,65,71,62,74,69,70,62,66,58,55,60,58,60,56,57,57,15,14,8,14.0,7.0
Adrian Lis,192,78,Arquero,64,Right,3,12,9,33,22,8,11,17,13,22,14,44,38,37,56,37,47,71,35,72,11,33,12,16,55,18,44,11,16,16,63,63,63,65.0,65.0
David Zalazar,177,73,Mediocampista,64,Right,3,56,60,48,68,62,64,65,62,55,60,84,80,83,54,74,58,66,52,57,63,55,21,62,58,57,66,33,36,53,6,15,5,14.0,5.0
Sebastian Karol Musiolik,193,88,Delantero,64,Left,2,35,61,63,58,52,61,44,34,45,64,82,86,70,56,73,67,90,77,88,54,34,19,60,48,60,54,28,15,20,15,9,12,12.0,7.0
David Sousa Albino,190,78,Defensor,64,Left,3,37,27,67,61,20,47,24,30,57,57,49,63,64,55,52,37,71,43,76,22,68,63,26,35,33,46,60,65,62,15,12,8,10.0,7.0
Denilson Duran Zabala,174,68,Defensor,64,Left,2,57,28,45,58,27,56,36,27,50,61,82,78,68,57,77,37,58,76,48,36,58,62,45,42,38,48,60,63,56,15,11,6,6.0,10.0
Jamie Roche,191,85,Mediocampista,64,Left,3,52,52,59,67,44,58,47,53,63,65,68,69,64,68,63,55,75,74,78,57,60,68,59,58,45,59,64,67,59,8,6,10,13.0,10.0
Ignacio Ferri Julià,192,79,Delantero,64,Right,3,46,69,64,60,57,55,44,39,36,60,70,68,54,55,60,66,78,54,77,59,51,21,63,46,58,54,20,28,21,9,13,12,7.0,7.0
David Richter,196,90,Arquero,64,Right,3,11,9,14,29,8,12,10,13,26,23,17,22,31,44,27,47,52,18,62,7,27,13,8,23,18,22,9,10,13,66,62,63,68.0,67.0
